Title,Body,Status,Priority,Epic,Scope,Size,Milestone,Labels
Add composite storage model and metadata,"Store composite name, area_ids, primary_area, timestamps, and enabled status. Ensure schema migration path.",Backlog,P0,Composite Foundation,Composite,M,Wave 1,"concierge,backend,composite"
Implement same-floor composite validation,"Reject cross-floor membership at validation time with clear error messages.",Backlog,P0,Composite Foundation,Composite,S,Wave 1,"concierge,backend,composite,floor"
Implement scope resolver room-floor-concierge,"Create deterministic effective value resolver with precedence room > floor > concierge.",Backlog,P0,Composite Foundation,Composite,M,Wave 1,"concierge,backend,scope"
Extend update_composite_config for rename and membership edits,"Support name and area_ids updates in a single deterministic transaction.",Backlog,P0,Service Surface,Composite,M,Wave 1,"concierge,backend,services,composite"
Implement sync_composites service,"Rebuild projections and validate invocation parity and membership integrity.",Backlog,P1,Service Surface,Composite,M,Wave 1,"concierge,backend,services,composite"
Implement stale composite device cleanup,"When membership changes, remove stale devices from composite snapshots and selectors.",Backlog,P0,Composite Foundation,Composite,S,Wave 1,"concierge,backend,composite"
Add tests for same-floor and cross-floor merge behavior,"Validate merge constraints and user-facing error responses.",Backlog,P0,Test Coverage,Composite,M,Wave 1,"concierge,tests,composite,floor"
Add tests for rename, partial unmerge, full dismantle,"Validate projection updates and stale reference cleanup.",Backlog,P0,Test Coverage,Composite,L,Wave 1,"concierge,tests,composite"
Build main UI three-tier layout,"Render concierge-wide, floor-wide, and room-card sections.",Backlog,P1,Main UI,Concierge,M,Wave 2,"concierge,ui"
Add merge mode on main UI,"Add merge button, name input, and room-card checkboxes for selection.",Backlog,P0,Main UI,Composite,M,Wave 2,"concierge,ui,composite"
Enforce same-floor selection in merge UI,"Prevent cross-floor selections and show inline validation.",Backlog,P0,Main UI,Composite,S,Wave 2,"concierge,ui,composite,floor"
Render composite tile replacement behavior,"Replace member room cards with one composite tile that lists member rooms.",Backlog,P0,Main UI,Composite,S,Wave 2,"concierge,ui,composite"
Add composite edit panel,"Add edit action, rename input, and member checklist.",Backlog,P0,Composite Edit UX,Composite,M,Wave 2,"concierge,ui,composite"
Support partial unmerge projection updates,"Unjoined room card returns; remaining members stay as composite.",Backlog,P0,Composite Edit UX,Composite,M,Wave 2,"concierge,ui,backend,composite"
Support full composite dismantle,"If all members removed, delete composite and restore all room cards.",Backlog,P0,Composite Edit UX,Composite,M,Wave 2,"concierge,ui,backend,composite"
Build composite device union selectors,"Selectors are union of devices across member rooms with deterministic ordering and dedupe.",Backlog,P0,Device Union,Composite,M,Wave 2,"concierge,ui,backend,composite"
Add category grouping in composite detail,"Lights, lamps(label), speakers, voice assistants, shades, tv, sensors.",Backlog,P1,Device Union,Composite,S,Wave 2,"concierge,ui,composite"
Gate room/composite options by global capabilities,"Show/hide AI, TTS, and Asset Intelligence dependent options.",Backlog,P1,Device Union,Concierge,S,Wave 2,"concierge,ui,scope"
Implement voice invocation promotion to composite,"Invocation from any member-room voice endpoint resolves to composite context.",Backlog,P0,Voice Determinism,Composite,M,Wave 3,"concierge,backend,voice,composite"
Enforce execution parity across member rooms,"Same command from any member room resolves and executes identically.",Backlog,P0,Voice Determinism,Composite,M,Wave 3,"concierge,backend,voice,composite"
Implement update_floor_config service,"Add floor defaults for thermostat/HVAC and media routing.",Backlog,P1,Service Surface,Floor,M,Wave 3,"concierge,backend,services,floor,climate"
Implement get_floor_config service,"Return floor config plus effective defaults and diagnostics.",Backlog,P1,Service Surface,Floor,S,Wave 3,"concierge,backend,services,floor"
Add Music Assistant global enable plus floor defaults,"Global capability toggle with floor routing defaults and room overrides.",Backlog,P1,Music and Climate Scope,Floor,M,Wave 3,"concierge,backend,ui,music-assistant,scope"
Implement floor-scoped thermostat defaults with room overrides,"Thermostat/HVAC defaults at floor scope, explicit room exceptions supported.",Backlog,P1,Music and Climate Scope,Floor,M,Wave 3,"concierge,backend,ui,climate,scope"
Add tests for composite invocation determinism,"Validate composite context promotion and consistent execution from any member room.",Backlog,P0,Test Coverage,Composite,M,Wave 3,"concierge,tests,voice,composite"
Add diagnostics for composite and effective scope snapshots,"Expose composite membership and resolved settings in diagnostics payload.",Backlog,P1,Release Readiness,Concierge,S,Wave 3,"concierge,backend,diagnostics"
Prepare release checklist execution,"Run tests and validations, update docs and manifest version, verify HACS and hassfest.",Backlog,P1,Release Readiness,Concierge,S,Wave 3,"concierge,release"
